symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
SBIN.NS,2019-05-15,2019-05-23,target,316.9084,358.7716,1,41.86
BHARTIARTL.NS,2019-04-01,2019-05-24,target,300.9298,349.3998,68,3295.96
DIVISLAB.NS,2019-05-24,2019-05-27,stop,1744.8720,1691.1540,1,-53.72
ICICIPRULI.NS,2019-05-24,2019-06-03,target,363.1815,402.5829,1,39.40
GODREJPROP.NS,2019-05-27,2019-06-06,stop,898.1489,846.0268,2,-104.24
CIPLA.NS,2019-05-24,2019-06-07,stop,569.2000,543.4781,38,-977.43
PETRONET.NS,2019-05-23,2019-06-07,stop,241.5707,235.4822,1,-6.09
ONGC.NS,2019-06-12,2019-06-17,stop,170.4352,164.7676,3,-17.00
ONGC.NS,2019-06-20,2019-06-24,stop,171.0855,168.3658,2,-5.44
INFY.NS,2019-06-10,2019-06-27,stop,751.2755,728.6355,30,-679.20
ULTRACEMCO.NS,2019-06-27,2019-06-28,stop,4649.2234,4553.7220,4,-382.01
BPCL.NS,2019-06-25,2019-07-01,stop,193.7718,188.4058,2,-10.73
INDIGO.NS,2019-06-28,2019-07-01,stop,1598.7000,1560.5000,12,-458.40
GODREJCP.NS,2019-07-01,2019-07-02,stop,673.8868,665.6170,29,-239.82
HCLTECH.NS,2019-03-28,2019-07-05,stop,528.4391,509.7450,21,-392.58
GODREJCP.NS,2019-07-02,2019-07-08,stop,674.2370,661.6690,28,-351.90
IOC.NS,2019-07-05,2019-07-08,stop,105.0000,100.6000,103,-453.20
HINDUNILVR.NS,2019-06-27,2019-07-09,stop,1768.0000,1745.5268,1,-22.47
BANKBARODA.NS,2019-07-10,2019-07-15,stop,126.7500,122.6886,242,-982.85
NHPC.NS,2019-07-16,2019-07-17,stop,24.4122,23.9880,3,-1.27
BHARTIARTL.NS,2019-07-02,2019-07-18,stop,344.5564,334.4502,1,-10.11
DLF.NS,2019-07-16,2019-07-18,stop,188.4442,183.1584,1,-5.29
FEDERALBNK.NS,2019-06-26,2019-07-18,stop,104.6023,100.7996,1,-3.80
KOTAKBANK.NS,2019-07-15,2019-07-22,stop,298.9094,294.2628,41,-190.51
ASIANPAINT.NS,2019-07-22,2019-07-26,target,1405.5524,1513.1429,9,968.31
NAUKRI.NS,2019-07-30,2019-07-31,stop,452.2260,441.7890,1,-10.44
GODREJPROP.NS,2019-07-26,2019-08-02,stop,948.3740,926.0000,14,-313.24
ICICIPRULI.NS,2019-07-15,2019-08-14,stop,390.5952,367.9160,44,-997.89
TCS.NS,2019-08-05,2019-08-16,stop,2211.1050,2164.4172,6,-280.13
TCS.NS,2019-08-16,2019-08-19,stop,2241.3999,2166.3162,13,-976.09
KOTAKBANK.NS,2019-08-19,2019-08-22,stop,301.4506,295.3523,94,-573.25
KOTAKBANK.NS,2019-08-26,2019-08-27,stop,303.7118,299.0504,91,-424.18
ICICIPRULI.NS,2019-08-27,2019-09-27,target,401.1004,456.3766,8,442.21
IDFCFIRSTB.NS,2019-09-26,2019-09-27,stop,43.2216,42.2788,2,-1.89
ZYDUSLIFE.NS,2019-10-04,2019-10-07,stop,235.4677,229.9350,15,-82.99
HCLTECH.NS,2019-10-07,2019-10-09,stop,545.2725,526.8115,6,-110.77
ZYDUSLIFE.NS,2019-10-09,2019-10-11,stop,236.0680,230.6846,15,-80.75
ICICIGI.NS,2019-10-11,2019-10-23,target,1200.6000,1324.0902,2,246.98
ADANIPOWER.NS,2019-10-17,2019-10-31,target,12.4762,13.4644,1,0.99
TATACONSUM.NS,2019-10-14,2019-10-31,target,274.0369,303.1565,1,29.12
ZYDUSLIFE.NS,2019-10-16,2019-10-31,target,235.3176,256.6055,1,21.29
HINDZINC.NS,2019-10-27,2019-11-01,stop,215.0074,209.8950,1,-5.11
DRREDDY.NS,2019-10-14,2019-11-06,target,533.6467,573.8894,1,40.24
NTPC.NS,2019-11-06,2019-11-07,stop,121.5607,119.4902,5,-10.35
AMBUJACEM.NS,2019-11-07,2019-11-11,stop,203.8519,199.8000,3,-12.16
AMBUJACEM.NS,2019-11-13,2019-11-14,stop,202.0510,195.1000,3,-20.85
HAVELLS.NS,2019-10-31,2019-11-14,stop,697.8487,669.7150,1,-28.13
VEDL.NS,2019-11-01,2019-11-14,stop,152.5762,145.4772,1,-7.10
M&M.NS,2019-11-15,2019-11-19,stop,583.7500,567.4661,2,-32.57
DRREDDY.NS,2019-11-19,2019-11-21,target,552.0759,572.8976,2,41.64
BEL.NS,2019-11-20,2019-11-22,stop,37.4687,36.5151,1,-0.95
CANBK.NS,2019-11-15,2019-11-26,target,40.7000,45.8734,5,25.87
AMBUJACEM.NS,2019-11-28,2019-12-06,stop,205.3026,199.9500,1,-5.35
PNB.NS,2019-12-05,2019-12-06,stop,64.0000,61.4193,1,-2.58
HCLTECH.NS,2019-10-24,2020-01-20,target,577.5500,618.0000,4,161.80
PFC.NS,2019-12-11,2020-01-21,stop,90.4852,86.3568,3,-12.39
RELIANCE.NS,2020-01-20,2020-01-21,stop,735.5807,698.8245,3,-110.27
DABUR.NS,2019-08-27,2020-01-24,target,437.2185,500.8419,55,3499.29
GRASIM.NS,2020-01-21,2020-01-27,target,775.9148,829.9584,3,162.13
LTF.NS,2020-01-24,2020-01-30,stop,111.5299,108.5830,247,-727.89
GAIL.NS,2020-01-20,2020-01-31,stop,84.9758,81.7924,3,-9.55
