symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
BEL.NS,2022-06-01,2022-06-17,stop,78.7287,76.4735,1,-2.30
ICICIPRULI.NS,2022-05-26,2022-06-17,stop,524.4241,505.7938,5,-94.70
HAL.NS,2022-06-22,2022-07-01,stop,906.8812,865.1342,14,-591.90
ITC.NS,2022-05-17,2022-07-01,target,251.4277,273.4344,154,3364.79
ABB.NS,2022-07-04,2022-07-06,target,2313.8121,2498.4313,18,3297.16
ADANIPOWER.NS,2022-07-18,2022-07-27,target,57.9089,61.0782,776,2431.61
NAUKRI.NS,2022-07-28,2022-07-29,target,790.3950,863.2599,38,2750.01
HDFCAMC.NS,2022-07-28,2022-08-16,target,962.7061,1072.6273,27,2951.39
BRITANNIA.NS,2022-08-18,2022-08-19,stop,3727.6748,3671.3259,16,-937.10
SUNPHARMA.NS,2022-08-24,2022-08-29,stop,892.8922,871.5640,24,-524.58
BPCL.NS,2022-08-30,2022-09-02,stop,164.0139,161.3635,3,-8.24
ONGC.NS,2022-09-15,2022-09-16,stop,134.2341,131.0345,3,-9.84
NAUKRI.NS,2022-08-24,2022-09-19,stop,860.8502,816.1832,22,-993.74
MARUTI.NS,2022-08-29,2022-09-20,target,8843.8372,9407.8625,2,1117.10
SBICARD.NS,2022-08-30,2022-09-20,target,906.4530,979.8541,3,218.51
SBILIFE.NS,2022-09-20,2022-09-22,stop,1310.5049,1271.1778,11,-441.12
TATASTEEL.NS,2022-09-21,2022-09-22,stop,106.4564,103.8960,9,-23.61
DMART.NS,2022-09-22,2022-09-26,stop,4421.6185,4266.9798,3,-471.74
M&M.NS,2022-09-20,2022-09-26,stop,1300.6500,1248.8502,19,-998.73
SBICARD.NS,2022-09-23,2022-09-26,stop,949.6746,909.5450,1,-40.69
TATAPOWER.NS,2022-08-24,2022-09-26,stop,232.3322,221.4284,92,-1015.67
SBIN.NS,2022-09-27,2022-09-28,stop,549.5491,532.4671,59,-1026.99
TORNTPHARM.NS,2022-07-28,2022-09-28,stop,1501.7505,1449.7491,2,-105.77
ASIANPAINT.NS,2022-09-27,2022-09-30,stop,3471.4689,3350.6468,7,-860.08
VBL.NS,2022-10-04,2022-10-11,stop,219.1095,208.3115,1,-10.93
BEL.NS,2022-10-07,2022-10-12,stop,105.2526,102.2976,1,-3.02
TRENT.NS,2022-09-30,2022-10-17,stop,1410.8598,1368.9301,24,-1026.33
ABB.NS,2022-10-18,2022-10-20,stop,3234.9826,3150.1475,1,-86.75
