symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HDFCBANK.NS,2024-05-27,2024-06-04,stop,761.6750,742.6285,11,-209.51
ICICIBANK.NS,2024-06-03,2024-06-04,stop,1170.0000,1110.6944,1,-59.31
MARUTI.NS,2024-05-21,2024-06-04,stop,12672.2333,12316.1387,1,-356.09
TATAPOWER.NS,2024-05-15,2024-06-04,stop,433.8000,412.4437,46,-982.39
IOC.NS,2024-06-04,2024-06-05,stop,177.0000,158.5000,110,-2035.00
TRENT.NS,2024-04-18,2024-06-05,target,4115.4068,4861.6381,4,2984.93
TATASTEEL.NS,2024-03-19,2024-06-07,target,150.3251,179.0119,1,28.69
ULTRACEMCO.NS,2024-06-06,2024-06-13,target,10075.0350,11264.7025,2,2379.33
INDUSTOWER.NS,2024-06-07,2024-06-18,stop,345.1225,334.3328,30,-323.69
INDUSTOWER.NS,2024-06-18,2024-06-19,stop,346.9734,329.1000,29,-518.33
BPCL.NS,2024-06-14,2024-06-20,stop,311.1500,306.5966,8,-36.43
BPCL.NS,2024-06-21,2024-06-24,stop,318.0000,306.2468,1,-11.75
ASIANPAINT.NS,2024-06-21,2024-06-25,stop,2925.9623,2870.9637,4,-219.99
GODREJPROP.NS,2024-06-07,2024-07-02,target,2827.3129,3312.6153,7,3397.12
COALINDIA.NS,2024-07-02,2024-07-08,target,478.0000,495.8713,48,857.82
RECLTD.NS,2024-06-13,2024-07-08,target,522.1109,613.3176,38,3465.86
BHEL.NS,2024-06-25,2024-07-09,target,297.9989,331.7501,40,1350.05
ASIANPAINT.NS,2024-07-11,2024-07-18,stop,3016.0072,2875.0000,1,-141.01
IDEA.NS,2024-07-16,2024-07-22,stop,17.5400,15.7700,11,-19.47
INDIGO.NS,2024-07-11,2024-07-23,stop,4321.1595,4218.3400,1,-102.82
HDFCBANK.NS,2024-07-22,2024-07-24,stop,812.3810,799.1752,3,-39.62
IOC.NS,2024-07-25,2024-07-30,target,169.3346,182.8356,2,27.00
COALINDIA.NS,2024-07-24,2024-08-01,target,496.2480,541.5373,5,226.45
HDFCBANK.NS,2024-08-01,2024-08-05,stop,814.3570,804.1977,3,-30.48
PIDILITIND.NS,2024-07-10,2024-08-05,stop,1563.5000,1534.2325,34,-995.09
INDIGO.NS,2024-07-23,2024-08-05,stop,4357.1775,4248.4245,1,-108.75
PIDILITIND.NS,2024-08-07,2024-08-09,stop,1578.2887,1554.2225,22,-529.46
IOC.NS,2024-08-09,2024-08-12,stop,172.5862,168.0000,3,-13.76
HDFCBANK.NS,2024-08-09,2024-08-13,stop,827.0633,809.2202,42,-749.41
DABUR.NS,2024-08-06,2024-08-13,stop,640.3200,613.7430,37,-983.35
BHARTIARTL.NS,2024-08-16,2024-08-20,stop,1480.8400,1452.3734,2,-56.93
BAJAJ-AUTO.NS,2024-08-13,2024-08-23,target,9779.8875,10377.3182,5,2987.15
DMART.NS,2024-08-16,2024-08-23,stop,5022.5100,4910.8432,1,-111.67
WIPRO.NS,2024-08-20,2024-08-23,stop,261.7308,256.7216,12,-60.11
JSWENERGY.NS,2024-08-23,2024-08-26,stop,725.0000,702.8984,45,-994.57
KOTAKBANK.NS,2024-08-23,2024-08-27,stop,365.0424,360.9794,6,-24.38
CGPOWER.NS,2024-08-23,2024-08-28,stop,747.8737,710.6945,26,-966.66
GRASIM.NS,2024-08-23,2024-08-28,stop,2774.3364,2689.7045,2,-169.26
MOTHERSON.NS,2024-08-26,2024-08-29,stop,132.9333,128.6823,4,-17.00
HDFCBANK.NS,2024-08-26,2024-08-30,stop,823.4115,813.3181,38,-383.55
JSWENERGY.NS,2024-08-27,2024-09-03,stop,721.1604,701.5990,1,-19.56
LT.NS,2024-08-30,2024-09-04,stop,3738.8685,3634.1820,8,-837.49
DLF.NS,2024-09-02,2024-09-06,stop,850.0000,833.6330,2,-32.73
WIPRO.NS,2024-08-28,2024-09-09,stop,262.5312,257.8460,91,-426.35
ADANIGREEN.NS,2024-09-10,2024-09-11,stop,1883.5913,1821.4888,13,-807.33
INDUSTOWER.NS,2024-09-11,2024-09-16,stop,433.8500,422.1888,56,-653.03
ICICIBANK.NS,2024-08-27,2024-09-17,target,1215.5574,1268.4351,1,52.88
DLF.NS,2024-09-16,2024-09-19,stop,869.0000,835.6320,27,-900.94
DABUR.NS,2024-09-05,2024-09-25,stop,655.0000,633.8829,6,-126.70
M&M.NS,2024-09-19,2024-09-25,target,2849.4240,3105.4942,7,1792.49
DMART.NS,2024-09-05,2024-10-01,stop,5111.5545,4957.8699,5,-768.42
POLYCAB.NS,2024-09-27,2024-10-01,target,6778.0372,7188.8295,3,1232.38
CUMMINSIND.NS,2024-09-27,2024-10-03,stop,3806.9025,3728.1350,1,-78.77
HDFCLIFE.NS,2024-09-23,2024-10-03,stop,721.3605,696.5500,1,-24.81
IOC.NS,2024-09-30,2024-10-03,stop,180.8404,171.4143,8,-75.41
LUPIN.NS,2024-10-04,2024-10-07,stop,2201.1000,2153.2229,12,-574.53
ITC.NS,2024-10-04,2024-10-07,stop,496.8237,488.1980,2,-17.25
ETERNAL.NS,2024-10-07,2024-10-08,stop,278.5500,263.9680,68,-991.58
CIPLA.NS,2024-06-05,2024-10-09,target,1490.0000,1687.1552,13,2563.02
CIPLA.NS,2024-10-09,2024-10-10,stop,1654.0266,1623.0381,24,-743.72
HEROMOTOCO.NS,2024-10-10,2024-10-11,stop,5590.7940,5460.5000,1,-130.29
SHRIRAMFIN.NS,2024-10-09,2024-10-17,stop,674.9473,655.2722,1,-19.68
TVSMOTOR.NS,2024-10-10,2024-10-17,stop,2806.0024,2719.6395,11,-949.99
GRASIM.NS,2024-10-17,2024-10-18,stop,2785.3920,2700.0000,11,-939.31
INFY.NS,2024-09-23,2024-10-21,stop,1915.9575,1866.4663,1,-49.49
