symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
LUPIN.NS,2019-09-19,2019-09-20,stop,762.3810,747.7000,1,-14.68
MARICO.NS,2019-09-20,2019-09-23,stop,385.4926,378.3607,5,-35.66
ICICIPRULI.NS,2019-08-27,2019-09-27,target,401.1004,456.3766,4,221.10
IDFCFIRSTB.NS,2019-09-26,2019-09-27,stop,43.2216,42.2788,44,-41.48
ZYDUSLIFE.NS,2019-10-04,2019-10-07,stop,235.4677,229.9350,2,-11.07
DRREDDY.NS,2019-10-04,2019-10-07,stop,537.4000,526.0000,6,-68.40
HCLTECH.NS,2019-10-07,2019-10-09,stop,545.2725,526.8115,6,-110.77
ZYDUSLIFE.NS,2019-10-09,2019-10-11,stop,236.0680,230.6846,14,-75.37
NHPC.NS,2019-10-16,2019-10-17,stop,23.9119,23.2384,9,-6.06
ICICIGI.NS,2019-10-11,2019-10-23,target,1200.6000,1324.0902,2,246.98
ADANIPOWER.NS,2019-10-17,2019-10-31,target,12.4762,13.4644,17,16.80
TATACONSUM.NS,2019-10-14,2019-10-31,target,274.0369,303.1565,1,29.12
HINDZINC.NS,2019-10-27,2019-11-01,stop,215.0074,209.8950,1,-5.11
DRREDDY.NS,2019-10-14,2019-11-06,target,533.6467,573.8894,1,40.24
NTPC.NS,2019-11-06,2019-11-07,stop,121.5607,119.4902,5,-10.35
AMBUJACEM.NS,2019-11-07,2019-11-11,stop,203.8519,199.8000,3,-12.16
AMBUJACEM.NS,2019-11-13,2019-11-14,stop,202.0510,195.1000,3,-20.85
VEDL.NS,2019-11-01,2019-11-14,stop,152.5762,145.4772,5,-35.50
M&M.NS,2019-11-15,2019-11-19,stop,583.7500,567.4661,2,-32.57
DRREDDY.NS,2019-11-19,2019-11-21,target,552.0759,572.8976,2,41.64
BEL.NS,2019-11-20,2019-11-22,stop,37.4687,36.5151,1,-0.95
CANBK.NS,2019-11-15,2019-11-26,target,40.7000,45.8734,4,20.69
AMBUJACEM.NS,2019-11-28,2019-12-06,stop,205.3026,199.9500,1,-5.35
IDFCFIRSTB.NS,2019-12-12,2020-01-17,stop,43.2216,41.8791,1,-1.34
HCLTECH.NS,2019-10-24,2020-01-20,target,577.5500,618.0000,4,161.80
PFC.NS,2019-12-11,2020-01-21,stop,90.4852,86.3568,2,-8.26
RELIANCE.NS,2020-01-20,2020-01-21,stop,735.5807,698.8245,3,-110.27
DABUR.NS,2019-08-27,2020-01-24,target,437.2185,500.8419,55,3499.29
GRASIM.NS,2020-01-21,2020-01-27,target,775.9148,829.9584,3,162.13
LTF.NS,2020-01-24,2020-01-30,stop,111.5299,108.5830,247,-727.89
GAIL.NS,2020-01-20,2020-01-31,stop,84.9758,81.7924,3,-9.55
