symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HCLTECH.NS,2017-07-18,2017-07-28,stop,435.4351,421.5282,1,-14.34
LT.NS,2017-07-18,2017-07-28,stop,1183.6828,1158.8403,21,-546.29
IDFCFIRSTB.NS,2017-07-31,2017-08-01,stop,60.8108,59.0909,1,-1.78
ASIANPAINT.NS,2017-07-28,2017-08-02,stop,1154.1533,1134.9143,21,-428.05
NESTLEIND.NS,2017-07-03,2017-08-04,stop,339.3391,332.2200,1,-7.45
COLPAL.NS,2017-08-03,2017-08-04,stop,1088.0873,1069.4650,21,-413.72
DLF.NS,2017-08-03,2017-08-04,stop,195.6455,188.4058,4,-29.73
TATAPOWER.NS,2017-08-01,2017-08-04,stop,82.9829,81.0189,1,-2.05
UPL.NS,2017-07-31,2017-08-09,stop,584.5508,571.7944,1,-13.33
SAIL.NS,2017-08-07,2017-08-10,stop,62.2122,59.9900,1,-2.28
KOTAKBANK.NS,2017-07-24,2017-08-16,stop,201.0205,193.8860,1,-7.33
INFY.NS,2017-08-10,2017-08-17,target,487.4371,504.9996,1,17.07
ASHOKLEY.NS,2017-08-17,2017-08-21,stop,53.0530,50.9740,10,-21.31
PIDILITIND.NS,2017-08-21,2017-08-22,stop,412.4121,404.5951,1,-8.23
DABUR.NS,2017-08-04,2017-08-23,stop,307.7538,296.9029,77,-858.80
HCLTECH.NS,2017-08-22,2017-08-23,stop,442.7925,431.3433,1,-11.89
ASHOKLEY.NS,2017-08-29,2017-09-11,target,53.1781,58.5556,2,10.64
POWERGRID.NS,2017-08-14,2017-09-11,stop,124.1553,118.6282,1,-5.65
NTPC.NS,2017-09-11,2017-09-15,stop,142.3923,139.7352,1,-2.80
SAIL.NS,2017-09-20,2017-09-21,stop,62.8628,61.1388,2,-3.57
PIDILITIND.NS,2017-08-24,2017-09-25,stop,414.3891,401.5482,56,-741.94
WIPRO.NS,2017-09-22,2017-09-26,stop,109.9474,108.5289,1,-1.53
GAIL.NS,2017-09-11,2017-10-03,target,97.0470,108.2158,1,11.07
NTPC.NS,2017-10-04,2017-10-06,target,140.9325,145.2177,1,4.14
COALINDIA.NS,2017-09-25,2017-10-10,target,256.6565,284.9192,87,2435.30
HDFCBANK.NS,2017-10-10,2017-10-11,stop,451.5637,448.0516,1,-3.96
M&MFIN.NS,2017-10-13,2017-10-16,stop,259.8304,256.1823,1,-3.91
