ticker,entry_date,exit_date,entry_price,exit_price,return_pct,days_held,action,exit_reason
COALINDIA.NS,2023-05-30,2023-06-05,201.13,188.27,-6.4,6.0,,signal
BAJAJ-AUTO.NS,2023-05-26,2023-06-20,4329.63,4303.95,-0.59,25.0,,signal
M&M.NS,2023-07-03,2023-07-31,1432.67,1454.38,1.52,28.0,,signal
ITC.NS,2023-04-12,2023-08-02,343.01,409.66,19.43,112.0,,signal
INDUSINDBK.NS,2023-06-12,2023-08-04,1322.27,1355.01,2.48,53.0,,signal
POWERGRID.NS,2023-08-01,2023-08-04,174.03,164.73,-5.34,3.0,,signal
BAJAJ-AUTO.NS,2023-07-03,2023-08-07,4532.56,4589.0,1.25,35.0,,signal
JSWSTEEL.NS,2023-08-11,2023-08-17,821.34,786.55,-4.23,6.0,,signal
DRREDDY.NS,2023-08-10,2023-08-31,1161.73,1116.22,-3.92,21.0,,signal
HCLTECH.NS,2023-09-05,2023-10-03,1109.91,1106.1,-0.34,28.0,,signal
TITAN.NS,2023-09-07,2023-10-03,3153.16,3129.11,-0.76,26.0,,signal
ONGC.NS,2023-09-04,2023-10-05,158.49,156.25,-1.41,31.0,,signal
NTPC.NS,2023-09-04,2023-10-06,218.52,219.04,0.24,32.0,,signal
LT.NS,2023-07-03,2023-10-25,2408.74,2908.79,20.76,114.0,,signal
POWERGRID.NS,2023-10-18,2023-10-26,188.21,179.46,-4.65,8.0,,signal
TRENT.NS,2023-12-01,2024-02-01,2782.68,3084.21,10.84,62.0,,signal
HCLTECH.NS,2023-11-17,2024-03-14,1189.97,1491.86,25.37,118.0,,signal
COALINDIA.NS,2023-10-11,2024-03-15,253.11,376.04,48.57,156.0,,signal
BPCL.NS,2023-12-01,2024-03-15,187.36,262.32,40.01,105.0,,signal
ONGC.NS,2024-02-07,2024-03-15,244.17,237.79,-2.61,37.0,,signal
BAJAJ-AUTO.NS,2023-10-20,2024-04-23,5272.44,8556.83,62.29,186.0,,signal
ONGC.NS,2024-04-16,2024-05-09,249.54,249.77,0.09,23.0,,signal
BEL.NS,2024-04-03,2024-05-13,218.44,225.05,3.02,40.0,,signal
BPCL.NS,2024-05-22,2024-06-03,289.81,296.54,2.32,12.0,,signal
COALINDIA.NS,2024-05-22,2024-06-06,434.77,413.23,-4.95,15.0,,signal
POWERGRID.NS,2024-06-04,2024-06-06,313.46,283.93,-9.42,2.0,,signal
M&M.NS,2024-05-17,2024-07-12,2388.53,2668.21,11.71,56.0,,signal
HEROMOTOCO.NS,2024-05-10,2024-07-22,4480.93,5073.63,13.23,73.0,,signal
TRENT.NS,2024-06-06,2024-07-22,4905.8,5105.58,4.07,46.0,,signal
BEL.NS,2024-07-08,2024-07-22,323.63,301.51,-6.84,14.0,,signal
ONGC.NS,2024-07-08,2024-08-07,261.25,281.43,7.72,30.0,,signal
POWERGRID.NS,2024-07-31,2024-08-14,325.9,315.38,-3.23,14.0,,signal
NTPC.NS,2024-07-25,2024-08-16,372.69,382.46,2.62,22.0,,signal
COALINDIA.NS,2024-07-18,2024-09-04,453.1,458.97,1.29,48.0,,signal
BPCL.NS,2024-08-21,2024-09-12,321.55,316.12,-1.69,22.0,,signal
BAJAJ-AUTO.NS,2024-08-26,2024-10-08,10118.65,11298.65,11.66,43.0,,signal
BHARTIARTL.NS,2024-12-16,2024-12-20,1667.81,1596.65,-4.27,4.0,,signal
M&M.NS,2024-11-25,2024-12-23,3050.49,2894.74,-5.11,28.0,,signal
TECHM.NS,2024-12-06,2024-12-24,1746.47,1669.3,-4.42,18.0,,signal
HCLTECH.NS,2024-12-06,2024-12-24,1807.5,1791.17,-0.9,18.0,,signal
BAJAJFINSV.NS,2025-04-22,2025-05-05,2102.98,1963.94,-6.61,13.0,,signal
BAJFINANCE.NS,2025-06-09,2025-06-20,955.0,897.0,-6.07,11.0,,signal
KOTAKBANK.NS,2025-06-25,2025-07-07,444.09,425.51,-4.18,12.0,,signal
BHARTIARTL.NS,2025-06-23,2025-07-14,1914.0,1899.12,-0.78,21.0,,signal
BEL.NS,2025-06-23,2025-07-15,408.31,405.83,-0.61,22.0,,signal
M&M.NS,2025-09-05,2025-09-30,3511.0,3420.0,-2.59,25.0,,signal
EICHERMOT.NS,2025-09-02,2025-10-27,6310.5,6868.0,8.83,55.0,,signal
BEL.NS,2025-09-15,2025-10-31,398.3,412.05,3.45,46.0,,signal
BAJFINANCE.NS,2025-09-05,2025-11-04,942.0,1040.0,10.4,60.0,,signal
MARUTI.NS,2025-09-09,2025-11-06,15249.0,15534.0,1.87,58.0,,signal
HINDALCO.NS,2025-10-24,2025-11-10,811.35,792.0,-2.38,17.0,,signal
TATASTEEL.NS,2025-10-29,2025-11-17,183.67,175.13,-4.65,19.0,,signal
M&M.NS,2025-11-12,2025-12-05,3761.0,3659.3,-2.7,23.0,,signal
ASIANPAINT.NS,2025-12-03,2025-12-11,2969.0,2800.0,-5.69,8.0,,signal
HINDALCO.NS,2025-12-15,2026-02-17,851.95,892.9,4.81,64.0,,signal
SHRIRAMFIN.NS,2025-11-10,2026-03-05,822.0,1022.3,24.37,115.0,,signal
TATASTEEL.NS,2026-01-01,2026-03-06,180.6,199.5,10.47,64.0,,signal
JSWSTEEL.NS,2026-01-28,2026-03-10,1232.0,1196.1,-2.91,41.0,,signal
SBIN.NS,2026-02-18,2026-03-10,1197.22,1091.43,-8.84,20.0,,signal
BEL.NS,2026-01-29,2026-03-17,452.32,432.45,-4.39,47.0,,signal
